,Unnamed: 0,description,img,tags,title
C468F5,26413,"Tag (etiqueta) personalizada para Garrafas de Brinde aos Padrinhos e Pais dos Noivos. Confeccionamos no Papel Verge 180g ou Opaline 180g. DImensões: 4,0 cm de largura x 7,0 cm de altura.",https://img.elo7.com.br/product/main/1F1E13D/tag-personalizada-em-papel-kraft-180g-etiqueta.jpg,"personalização,papel vergê,convite de casamento pergaminho,convite de casamento simples,convite de casamento delicado,tag personalizada,convite azul royal,convite casamento simples e barato,convite arabesco preto,tag,tag champagne,convite de casamento preto e branco,tag para garrafa,noivos,papel,etiqueta,tag verge,tag vinho,tag de papel,convite de casamento azul royal",Tag personalizada em Papel Verge ou Opaline
9A7AD7,26707,"Confira Abaixo Algumas Informações Importantes! 
 
Frete: 
Peso final do pacote com até 500g - R$ 10,00 - Carta Registrada (prazo de produção + 9 dias úteis). 
 
Acima de 500g - Valor à calcular - PAC (prazo de produção + 9 dias úteis) ou SEDEX (prazo de produção + 4 dias úteis). 
 
- Só aceitaremos pedidos com antecedência de 30 dias para a data do aniversário. 
 
- Serão cancelados os pedidos cujo o pagamento não for confirmado em até 3 dias úteis após a abertura do pedido. 
 
-. Após a confirmação do pagamento o cliente deve informar os dados a serem adicionados aos convites 
 
- O texto dos convites poderá ser personalizado de acordo com a preferência do cliente, basta nos deixar uma observação descrevendo a alteração. 
 
- Assim que identificarmos o recebimento de todos os dados do aniversariante daremos início à produção da arte dos convites e entraremos em contato em até 24 horas para apresentação da mesma que aguardará aprovação do cliente. 
 
- Assim que a arte for aprovada daremos início na produção dos convites. O Prazo para produção é de 2 dias úteis para cada 100 convites, se o cliente solicitar envelopes, o prazo dobra. 
 
- O prazo de entrega dos produtos pelos correios será informado no ato da compra, e o prazo final deverá ser somado ao prazo dos correios + o prazo do processo de produção descrito acima. 
 
- Também temos envelopes, basta o cliente solicitar no ato da compra que iremos adicionar o valor correspondente ao valor final do pedido. 
 
- Caso não encontre o seu tema, entre em contato conosco e nos informe qual o tema desejado para avaliarmos a disponibilidade e entraremos em contato em até 24hs. para informar o prazo necessário para desenvolvimento da arte com base na fila de solicitações. 
 
Boas Compras!",https://img.elo7.com.br/product/main/209F516/convite-casamento-vintage-10x15cm.jpg,"49,35,convite personalizado enlace matrimonial,41,46,dourado,43,75,62,42,convite de casamento,65,48,convite para casamento bonito,material,33,noivos,26,cm,44,67,5,festa,convite de casamento vintage,casamento,39",Convite Casamento Vintage 10x15cm
4A8280,27394,"Produto confeccionado em malha de algodão , tricoline e enchimento siliconado. 
Preço por peça R$8,80. 
Preço R$6,40 cada apenas para o lote de 30 peças.",https://img.elo7.com.br/product/main/105F8CE/chaveiro-boneca-boneca-floral.jpg,"sono,lembrancinha boneca,decoração bailarina,lembrancinha de aniversário boneca,boneca emilia,visconde de sabugosa,boneca de pano,boneca de pano bailarina,lembrancinha batizado,chaveiro boneca floral,boneca,lembrancinha menina,chaveiro boneca rosa,bailarina de pano,floral,bebe reborn menino,chaveiro,chaveiro boneca de pano,lembrancinha nascimento boneca,chaveiro de boneca,boneca florista",Chaveiro boneca com vestido floral
ACF9FD,28512,"Chinelo personalizado casamento! 
 
chinelos personalizados para todos tipo de evento 
 
ATENÇÃO 
Nossos chinelos são feito por sublimação!! Sublimação é o tecido 100% políéster que vai sobre a borracha para receber qualquer tipo de estampa sem limite de cores, ficando uma imagem fotográfica! 
 
ATENÇÃO 
NÃO É TINTA DIRETO NO CHINELO 
 
Faremos sua estampa gratuitamente! 
 
Consulte - te nos!! 
 
 
Observação 
 
Clicar em comprar apenas quando tiver certeza 
 
Aguardo seu conta 
Ideal chinelos",https://img.elo7.com.br/product/main/1B5BCD5/chinelo-casamento-infantil.jpg,"festa,chinelos,lembrancinha personalizada dia dos professores,chinelo casamento,infantil,evento,chinelo personalizado dia dos professores,chinelo dia dos professores,chinelo personalizado casamento,brinde personalizado dia dos professores,produtos personalizados dia dos professores,lembrancinha casamento,chinelo personalizado,casamento",Chinelo Casamento
B97104,28605,"timão pingometro porta pinga em MDF 40 cm, lindo enfeite para áreas de churrasqueiras, barezinhos, ranchos, edículas, vai deixar o ambiente, com decoração diferenciada, e vai chamar a atenção em todas as reuniões com amigos e familiares",https://img.elo7.com.br/product/main/1D59467/pingometro-parede-timao-navio-churrasqueira-area-vip-enfeite-rancho.jpg,"rancho,churrasqueira,enfeite varanda gourmet,pingometro de parede,enfeite de jardim,pingometro,enfeite parede timão,cantinho da cachaça,área,enfeite artesanal,garrafa com cachaça,parede,timão,enfeite de parede para churrasqueira,área da churrasqueira,enfeite de varanda,porta cachaça,porta pinga,enfeite de rancho,enfeite barzinho,porta pinga timao,enfeite edícula,enfeite churrasqueira,pinga,enfeite para chácara,reserva especial,timão enfeite parede",Pingometro Parede Timão Navio Churrasqueira Área Vip
CA1A08,28764,"PRATELEIRA DE MADEIRA PINTADA 
 
Ideal para organização dos livros no quartinho das crianças, deixando organizado e decorando o ambiente! Fica facil e pratico para os pequenos manusear e ler com facilidade. 
Feito em madeira de pinus, para deixar qualquer ambiente da sua casa ou estabelecimento com um toque charmoso. 
Otimo para ajudar na organização, de quarto infantil (como demonstrado na foto), na cozinha para organizar livros, no quarto de meninas para organizar barbie, na sala para organizar revistas e onde mais a criatividade deixar! =) 
 
Nossos produtos são todos devidamente lixados para que possa receber pintura caso o cliente desejar. 
 
 
Descrição do Produto 
--------------------------------------------------------- 
Pratelira de Prateleira 
 
Tamanho: 
- Altura: 15cm 
- Comprimento: 53cm 
- Profundidade : 7cm 
 
Material: 
- Madeira de pinus lixada e pintada 
 
--------------------------------------------------------- 
 
OBS: Valor se refere apenas de uma unidade de ccaixot",https://img.elo7.com.br/product/main/2008CFF/prateleira-de-madeira-para-livros-pintada-quarto-infantil.jpg,"quarto infantil,decoração de cozinha,organização da casa,organização de livros,decoração,prateleira rustica,decoração de ambientes,organização,organização de ambientes,decor,madeira,livro,prateleira,cozinha infantil de madeira,nicho para livros,prateleira livros,prateleiras em mdf,nicho bebe,decoração de parede,nicho decoração,organização quarto infantil,decoração de livros,cozinha,nichos para brinquedos,decoração sala,sala,prateleira de madeira,rústico,decoração quarto",Prateleira de madeira para livros pintada
D048FA,29446,"***** CONSULTAR DATA DISPONÍVEL PARA LOCAÇÃO***** 
 
- Bolo NÃO comestível! 
- Base de Isopor, enfeitado com E.V.A, corda e chapéu em acrílico. 
 
- Locamos para toda região de São Paulo. 
- A reserva será realizada somente após o pagamento. 
- Entrega e retirada do produto é por conta do comprador. 
- O bolo fake fica disponível 2 dias antes do evento e a devolução em até 2 dias depois após o evento. Caso a devolução não ocorra no prazo estipulado, haverá uma multa de 20% por dia de atraso. 
- Ao retirar as peças ficaremos com um cheque caução no valor de R$ 200,00 onde será devolvido após a devolução da peça. 
- Caso haja algum dano ao produto, o cliente deverá pagar o valor total de venda.",https://img.elo7.com.br/product/main/2107B55/aluguel-bolo-fake-country-festa-country.jpg,"pelucias minnie vermelha,locacao de pelúcia,aluguel bolo fake,festa julina,festa junina,aluguel pelúcia safari,aluguel de bolo,bolo cenografico fundo do mar,bolo country,bolo cenográfico country,bolo locação,locação de bolo,festa country,country,bolo fake,bolo pequena sereia",Aluguel Bolo Fake Country
CFAED9,29486,"tecido Oxford e/ou tactel 
tamanho de 0 a 08 anos 
Temos diversos personagens, cores e modelos",https://img.elo7.com.br/product/main/20ED5B3/vestido-tematico-magali-amarelo-magali.jpg,"vestido magali,vestido,vestido temático,amarelo,tema,lembrancinha personalizada para nascimento,lol,chaveiro lembrancinha de nascimento,lembrancinhas baratas para nascimento,ladybug,magali,vestido amarelo,personalizado",vestido temático magali amarelo
B8D088,29512,"A Araucária é capaz de se encaixar em qualquer ambiente seja em sua casa ou escritório. Os cactos e suculentas por suas linhas simples, cor discreta, se tornam perfeitas para compor arranjos individualmente, ou como complemento com outras plantas. 
Suculentas artificiais parecem realistas combine esta haste com outras variedades de tons, tipos e tamanhos de cores e crie seu arranjo floral. 
Encontre na Decora flores artificiais suculentas, echeveria, sedum, agave, aloe, lotus e muito mais. 
Os arranjos das sugestões “Faça Você Mesmo” são apenas ilustrativos. 
Não esquece hein, aqui na Decora você encontra todas as flores e plantas para criar estes lindos arranjos, ou se preferir escolha um dos nossos lindos arranjos prontos!!! 
Qualquer dúvida, fale com a gente. 
Características do produto 
· Comprimento: Altura: 13 cm Largura: 13 cm 
· Material: plástico de alta e arame. 
· Cor: Verde 
Vantagens do produto 
Uma das vantagens em utilizá-las é que não será necessário tomar medidas como selecionar o tipo certo de terra, regar e adubar constantemente, ou se preocupar com a localização delas em locais que recebam energia solar diariamente. 
 
Elas não irão murchar ou morrer, diferente das plantas naturais, as flores permanentes podem servir para decorar até mesmo o banheiro, onde há bastante umidade. O único cuidado está em limpá-la regularmente, para eliminar a sujeira acumulada com o tempo e sempre mantê-la com aspecto de novo.",https://img.elo7.com.br/product/main/1D3EBBC/suculenta-artificial-araucaria-flores-artificiais-finas.jpg,"folhagem artificial atacado,arranjo artificial,arranjo artificial branco,cactos artificiais,folhagem artificial para sala,flores do campo,folhagem artificial para parede,folhagem artificial 25 de março,folhagem verde artificial,folhagem artificial,planta suculenta artificial comprar,vasos grandes para plantas,vasinho suculenta artificial,suculentas,planta artificial com vaso,suculentas artificiais 25 de março,suculentas artificiais,cactos e suculentas artificiais,plantas artificiais grandes,vaso decorativo,suculenta artificial preço,plantas artificiais,flor suculenta artificial,arranjo de folhagem artificial,folhagem artificial para decoração,arranjos artificiais para mesa,arranjos artificiais em vasos de vidro,flores e folhagens artificiais,flores artificiais,vaso com suculentas artificiais,plantas artificiais para sala,flor artificial atacado 25 março,arranjo artificial comprar",Planta artificial suculenta araucária
B87136,29884,"Vestido Infantil de Festa Tam 1 ao 6 
Tecido 100% poliester com forro 100% algodão!!! 
Estampa em alta qualidade, não sai, não desbota e não mancha. Alta costura!!! 
 
Trabalhamos somente com encomendas, se atente ao prazo de confecção + prazo dos correios!!! 
 
As medidas estão nas fotos, antes de comprar confira as medidas, Troca somente no caso de defeito de fabricação. 
 
Não nos responsabilizamos por atrasos causados pelos correios!!! 
 
Caso precise para um prazo menor, nos contate que verificamos a possibilidade, taxa de antecipação de rodução 15,00!!!",https://img.elo7.com.br/product/main/1D2F2E3/vestido-ariel-pequena-sereia-festa-ariel.jpg,"ariel,vestido de festa,personalizados ariel,festa ariel,vestido pequena sereia,vestido de festa ariel,vestido temático,vestido,vestido sereia,luna,vestido infantil,vestido ariel,decoração ariel,pequena sereia,rapunzel",Vestido Ariel Pequena Sereia
